y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,31,29,31,30,30,30,30,31,29,31,29,32,28,32,28,33,27,33,26,33,26,34,25,34,24,34,24,33,24,32,23,32,22,32,21,32,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,35,27,34,27,33,27,32,27,31,27,31,26,30,26,29,26,28,26,28,25,28,24,27,24,27,23,27,22,27,21,26,21,25,21,24,21,24,20,24,19,23,19,23,18,22,18,21,18,20,18,20,17,19,17,18,17,17,17,17,16,16,16,16,17,16,18,16,19,16,20,15,20,14,20,13,20,13,21,13,22,13,23,13,24,13,25,12,25,11,25,11,26,11,27,11,28,11,29,10,29,9,29,9,30,9,31,8,31,7,31,6,31,5,31,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,30,29,29,29,28,29,27,29,26,29,26,30,25,30,24,30,23,30,22,30,22,31,21,31,20,31,19,31,18,31,17,31,16,31,15,31,14,31,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,29,27,28,27,27,27,26,27,26,26,25,26,24,26,23,26,23,25,23,24,22,24,21,24,20,24,19,24,18,24,18,23,17,23,16,23,15,23,14,23,14,22,13,22,12,22,12,21,11,21,10,21,10,20,10,21,10,22,9,22,9,23,9,24,9,25,9,26,8,26,8,27,7,27,7,28,7,29,7,30,7,31,6,31,5,31,4,31,3,31,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,29,27,28,27,27,27,26,27,26,26,25,26,25,25,25,24,25,23,25,22,25,21,24,21,23,21,22,21,22,20,22,19,22,18,22,17,21,17,21,18,21,19,20,19,19,19,18,19,18,20,17,20,17,21,17,22,17,23,16,23,16,24,16,25,16,26,15,26,14,26,13,26,12,26,12,27,12,28,11,28,11,29,11,30,10,30,9,30,8,30,7,30,6,30,6,31,5,31,4,31,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,33,27,32,27,31,27,31,26,30,26,29,26,28,26,27,26,26,26,25,26,24,26,23,26,23,25,22,25,21,25,20,25,19,25,18,25,18,24,17,24,16,24,15,24,14,24,14,23,13,23,12,23,12,22,11,22,10,22,9,22,8,22,8,23,8,24,8,25,8,26,8,27,7,27,7,28,6,28,6,29,6,30,5,30,4,30,4,31,3,31,2,31,1,31,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,33,27,32,27,31,27,30,27,29,27,29,26,28,26,27,26,26,26,26,25,26,24,26,23,26,22,25,22,24,22,23,22,23,21,22,21,22,20,22,19,21,19,20,19,19,19,18,19,18,20,18,21,18,22,17,22,16,22,16,23,15,23,15,24,15,25,15,26,14,26,14,27,14,28,13,28,12,28,12,29,12,30,11,30,11,31,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,32,27,31,27,30,27,30,26,29,26,29,25,29,24,28,24,27,24,26,24,25,24,24,24,23,24,22,24,21,24,20,24,19,24,18,24,18,23,17,23,16,23,15,23,15,24,15,25,15,26,15,27,14,27,13,27,13,28,13,29,12,29,11,29,10,29,9,29,8,29,7,29,6,29,5,29,5,30,4,30,3,30,3,31,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,37,27,36,27,35,27,34,27,33,27,32,27,31,27,30,27,29,27,28,27,27,27,26,27,25,27,24,27,23,27,22,27,21,27,20,27,19,27,18,27,18,28,18,29,17,29,17,30,16,30,15,30,14,30,14,31,13,31,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,35,27,34,27,33,27,33,26,32,26,31,26,31,25,31,24,30,24,29,24,29,23,28,23,27,23,27,22,27,21,26,21,26,22,25,22,24,22,23,22,22,22,22,23,22,24,21,24,20,24,19,24,18,24,18,25,17,25,17,26,16,26,15,26,14,26,14,27,13,27,12,27,12,28,11,28,10,28,10,29,9,29,9,30,9,31,8,31,7,31,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,38,29,37,29,36,29,36,30,35,30,34,30,33,30,32,30,31,30,30,30,29,30,29,31,28,31,28,32,27,32,26,32,25,32,24,32,24,33,24,34,24,35,23,35,23,36,23,37,23,36,22,36,21,36,21,35,21,34,20,34,19,34,18,34,17,34,17,33,16,33,15,33,14,33,13,33,12,33,11,33,10,33,9,33,8,33,7,33,6,33,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,38,29,37,29,37,30,37,31,36,31,36,32,35,32,34,32,33,32,32,32,31,32,30,32,30,33,29,33,28,33,28,34,28,35,27,35,27,36,27,37,26,37,25,37,24,37,24,36,24,35,24,34,23,34,23,33,22,33,21,33,20,33,19,33,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,31,29,30,29,29,29,28,29,27,29,26,29,25,29,25,30,25,31,24,31,23,31,22,31,21,31,21,32,20,32,19,32,18,32,17,32,17,33,16,33,15,33,14,33,14,34,13,34,13,35,13,36,13,37,13,36,13,35,12,35,12,34,11,34,10,34,9,34,8,34,8,33,7,33,6,33,5,33,4,33,3,33,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,34,29,33,29,33,30,33,31,33,32,33,33,33,34,33,35,33,36,32,36,32,37,31,37,31,38,30,38,30,39,29,39,28,39,27,39,26,39,25,39,24,39,23,39,23,38,22,38,22,37,21,37,20,37,20,36,19,36,18,36,17,36,17,35,16,35,15,35,15,34,14,34,13,34,12,34,12,33,11,33,10,33,9,33,8,33,7,33,6,33,5,33,4,33,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,23,29,22,29,22,30,22,31,21,31,20,31,20,32,19,32,18,32,17,32,16,32,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,13,28,12,28,12,29,11,29,11,30,10,30,10,31,9,31,8,31,7,31,6,31,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,31,29,30,29,29,29,28,29,28,30,27,30,26,30,26,31,26,32,25,32,24,32,23,32,22,32,22,33,22,34,21,34,20,34,19,34,19,35,19,36,19,37,19,38,18,38,18,39,17,39,16,39,15,39,15,38,14,38,14,37,13,37,12,37,12,36,12,35,11,35,10,35,9,35,8,35,7,35,6,35,6,34,6,33,5,33,4,33,3,33,2,33,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,36,27,35,27,34,27,33,27,32,27,31,27,31,26,30,26,29,26,29,25,28,25,28,24,27,24,26,24,25,24,24,24,23,24,23,23,23,22,22,22,22,21,21,21,20,21,19,21,18,21,17,21,16,21,16,20,16,19,15,19,14,19,13,19,13,18,13,19,13,20,13,21,13,22,13,23,13,24,12,24,12,25,12,26,12,27,12,28,11,28,11,29,10,29,10,30,9,30,8,30,7,30,7,31,6,31,5,31,4,31,3,31,2,31,1,31,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,33,27,32,27,31,27,30,27,29,27,28,27,27,27,26,27,25,27,24,27,23,27,22,27,21,27,21,26,20,26,19,26,19,25,18,25,17,25,17,26,17,27,16,27,16,28,15,28,14,28,13,28,13,29,13,30,12,30,11,30,10,30,9,30,8,30,7,30,7,31,6,31,5,31,4,31,3,31,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,31,29,30,29,29,29,28,29,28,30,27,30,26,30,25,30,24,30,24,31,24,32,24,33,23,33,22,33,21,33,20,33,19,33,18,33,17,33,17,34,16,34,16,35,15,35,15,36,15,37,15,38,14,38,13,38,13,39,13,38,13,37,12,37,12,36,12,35,11,35,11,34,11,33,10,33,9,33,8,33,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,28,27,27,27,26,27,25,27,24,27,23,27,22,27,22,28,21,28,20,28,19,28,18,28,17,28,16,28,15,28,14,28,14,29,13,29,13,30,12,30,12,31,11,31,10,31,9,31,8,31,7,31,6,31,5,31,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,21,28,20,28,19,28,18,28,17,28,17,29,16,29,16,30,15,30,14,30,13,30,12,30,11,30,10,30,9,30,8,30,7,30,6,30,5,30,4,30,3,30,3,31,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,35,27,34,27,33,27,32,27,31,27,30,27,29,27,28,27,27,27,27,26,26,26,25,26,24,26,24,25,24,24,23,24,23,23,22,23,21,23,21,22,20,22,19,22,18,22,17,22,17,21,17,20,16,20,16,21,15,21,14,21,13,21,13,22,13,23,13,24,12,24,12,25,12,26,12,27,11,27,11,28,11,29,11,30,11,31,10,31,9,31,8,31,7,31,6,31,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,38,29,38,30,38,31,38,32,38,33,37,33,37,34,37,35,36,35,35,35,34,35,33,35,32,35,31,35,30,35,30,36,29,36,28,36,27,36,26,36,26,35,25,35,24,35,23,35,23,34,23,33,22,33,21,33,20,33,19,33,18,33,17,33,16,33,15,33,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,35,28,34,28,33,28,32,28,31,28,30,28,29,28,28,28,27,28,26,28,25,28,24,28,23,28,22,28,22,29,21,29,20,29,19,29,18,29,17,29,17,30,16,30,15,30,14,30,13,30,13,31,12,31,11,31,10,31,9,31,8,31,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,39,28,38,28,37,28,36,28,36,27,35,27,34,27,33,27,32,27,32,26,32,25,32,24,32,23,32,22,32,21,32,20,32,19,31,19,30,19,29,19,29,20,28,20,27,20,27,21,26,21,25,21,25,22,25,23,25,24,25,25,24,25,23,25,23,26,22,26,22,27,21,27,20,27,20,28,19,28,19,29,18,29,17,29,17,30,17,31,16,31,15,31,15,32,14,32,13,32,12,32,11,32,10,32,9,32,8,32,7,32,6,32,5,32,4,32,3,32,2,32,1,32,0,32
