sum of costs,num of colliding pairs,runtime
14071,145,1.08765
14023,133,1.1739
14079,128,1.24227
14270,116,1.2864
14270,116,1.3324
14270,116,1.38788
14428,115,1.44346
14515,114,1.53159
14528,110,1.57463
14583,108,1.64071
14583,108,1.67318
14658,101,1.71287
14693,95,1.80589
14693,95,1.87169
14804,91,1.96318
14969,88,1.99018
14969,88,2.05695
14969,88,2.09434
15014,87,2.16052
15062,85,2.22227
15070,84,2.30885
15223,73,2.36179
15198,71,2.39082
15199,64,2.4322
15199,64,2.47807
15199,64,2.54316
15197,61,2.64616
15195,60,2.68879
15195,60,2.74717
15392,58,2.77813
15392,58,2.81755
15392,58,2.86504
15392,58,2.9358
15389,57,3.00135
15530,55,3.0514
15684,53,3.14237
15699,51,3.16678
15699,51,3.25652
15699,51,3.37374
15699,51,3.41468
15699,51,3.46359
15738,49,3.60158
15738,49,3.68966
15742,48,3.72718
15739,47,3.80833
15739,46,3.89027
15739,45,3.91743
15739,45,4.02264
15749,44,4.11426
15754,42,4.13853
15754,42,4.21165
15754,42,4.23048
15754,42,4.25602
15754,42,4.27662
15754,42,4.31682
15828,40,4.41204
15835,37,4.49492
15835,37,4.5491
15835,37,4.6244
15835,37,4.64812
15835,37,4.65153
15989,35,4.69665
15981,34,4.74225
15981,34,4.77393
15932,33,4.83868
16016,31,4.90341
16016,31,4.93331
16059,30,4.98075
16059,30,5.10805
16059,30,5.154
16059,30,5.20461
16059,30,5.26958
16059,30,5.30817
16133,28,5.35758
16159,27,5.40853
16159,27,5.47211
16182,26,5.53304
16182,26,5.55931
16170,25,5.61529
16170,25,5.69936
16170,25,5.73925
16170,25,5.78637
16170,25,5.79559
16166,24,5.82831
16166,24,5.89433
16218,23,5.94544
16218,23,5.99118
16268,22,6.06307
16267,21,6.10501
16267,21,6.16929
16267,21,6.23775
16267,21,6.29389
16267,21,6.3338
16267,21,6.39371
16316,20,6.43343
16316,20,6.50059
16316,20,6.5683
16330,19,6.61935
16341,18,6.67443
16335,16,6.70776
16335,16,6.78101
16333,14,6.80372
16333,14,6.88352
16333,14,6.91677
16333,14,6.93744
16330,13,6.97472
16389,11,7.0057
16389,11,7.07245
16389,11,7.12818
16389,11,7.18778
16389,11,7.21001
16389,11,7.25714
16389,11,7.32318
16391,10,7.41098
16391,10,7.45172
16391,10,7.47631
16391,10,7.55899
16391,10,7.59796
16391,10,7.61593
16391,10,7.73717
16391,10,7.80202
16391,10,7.83033
16391,10,7.88198
16372,9,7.96054
16372,9,8.05826
16372,9,8.08482
16372,9,8.14133
16372,9,8.20094
16372,9,8.24512
16372,9,8.29959
16372,8,8.32665
16372,8,8.36158
16372,8,8.40675
16372,8,8.42907
16372,8,8.45904
16372,8,8.50456
16372,8,8.52622
16372,8,8.54912
16372,8,8.57048
16372,8,8.60489
16372,8,8.67456
16372,8,8.73723
16372,8,8.78714
16372,8,8.84451
16372,8,8.87353
16372,8,8.92136
16491,7,8.9407
16491,7,8.97677
16491,7,9.03867
16491,7,9.08984
16491,7,9.12076
16491,7,9.16934
16491,7,9.19747
16491,7,9.25097
16491,7,9.28047
16491,7,9.33707
16491,7,9.3698
16491,7,9.39834
16491,7,9.44958
16491,7,9.48014
16491,7,9.51124
16491,7,9.56069
16491,7,9.61256
16491,7,9.63057
16491,7,9.65971
16491,7,9.67891
16491,7,9.72559
16491,7,9.7643
16491,7,9.80988
16506,6,9.85575
16506,6,9.88487
16506,6,9.927
16506,6,9.95179
16506,6,9.97292
16506,6,10.0247
16506,6,10.0822
16506,6,10.1317
16506,6,10.1846
16506,6,10.1957
16506,6,10.2216
16506,6,10.261
16506,6,10.2876
16506,6,10.3337
16506,6,10.3906
16558,5,10.4339
16558,5,10.5055
16558,5,10.5466
16558,5,10.59
16558,5,10.6093
16558,5,10.6665
16558,5,10.7069
16558,5,10.73
16558,5,10.7363
16558,5,10.7749
16558,5,10.7989
16573,4,10.8177
16573,4,10.8412
16573,4,10.8482
16573,4,10.8821
16573,4,10.9486
16573,4,11.0118
16573,4,11.076
16573,4,11.1165
16573,4,11.1574
16587,3,11.2007
16587,3,11.2507
16587,3,11.2749
16587,3,11.3651
16587,3,11.3896
16587,3,11.4469
16587,3,11.4735
16587,3,11.5059
16587,3,11.5304
16587,3,11.5436
16587,3,11.5637
16587,3,11.5879
16587,3,11.6252
16587,3,11.6509
16587,3,11.7199
16587,3,11.7787
16587,3,11.8297
16587,3,11.8646
16587,3,11.8832
16587,3,11.9118
16587,3,11.9743
16587,3,11.9864
16587,3,12.0401
16587,3,12.0992
16587,3,12.1508
16587,3,12.1807
16587,3,12.2388
16587,3,12.2886
16587,3,12.3204
16587,3,12.3457
16587,3,12.3761
16587,3,12.4449
16587,3,12.4907
16587,3,12.5639
16587,3,12.6272
16587,3,12.6842
16587,3,12.7262
16587,3,12.738
16587,3,12.7827
16587,3,12.7854
16587,3,12.7925
16587,3,12.8338
16587,3,12.8436
16587,3,12.8709
16587,3,12.8947
16587,3,12.9404
16587,3,12.9496
16587,3,12.9888
16587,3,13.0202
16587,3,13.052
16587,3,13.0925
16587,3,13.1443
16587,3,13.1848
16587,3,13.2296
16587,3,13.2807
16587,3,13.3371
16587,3,13.3536
16587,3,13.3885
16587,3,13.4436
16587,3,13.4862
16587,3,13.5302
16587,3,13.5822
16587,3,13.6124
16587,3,13.6692
16587,3,13.6974
16587,3,13.7369
16587,3,13.7818
16587,3,13.8288
16587,3,13.8445
16587,3,13.8703
16587,3,13.9057
16587,3,13.9449
16587,3,14.0058
16587,3,14.0385
16587,3,14.0622
16587,3,14.1062
16587,3,14.1663
16587,3,14.2301
16587,3,14.2769
16587,3,14.3384
16587,3,14.401
16587,3,14.4595
16587,3,14.5059
16587,3,14.5421
16587,3,14.5967
16587,3,14.6233
16587,3,14.6382
16587,3,14.6595
16587,3,14.6898
16587,3,14.7491
16587,3,14.8207
16587,3,14.8674
16587,3,14.9245
16587,3,14.9516
16587,3,15.0318
16587,3,15.0707
16587,3,15.1113
16587,3,15.1685
16587,3,15.1851
16587,3,15.2045
16587,3,15.2593
16587,3,15.2768
16587,3,15.2916
16587,3,15.3463
16587,3,15.3928
16587,3,15.4075
16587,3,15.469
16587,3,15.4888
16587,3,15.5567
16587,3,15.5879
16587,3,15.6473
16587,3,15.7001
16587,3,15.7505
16587,3,15.7703
16587,3,15.8221
16587,3,15.876
16587,3,15.893
16587,3,15.9039
16587,3,15.9243
16587,3,15.9531
16587,3,15.9608
16587,3,16.0059
16587,3,16.0409
16587,3,16.0696
16587,3,16.1148
16587,3,16.164
16587,3,16.2073
16587,3,16.2608
16587,3,16.2878
16587,3,16.3612
16587,3,16.395
16587,3,16.4154
16587,3,16.4429
16587,3,16.5097
16587,3,16.5658
16587,3,16.6186
16587,3,16.65
16587,3,16.6624
16587,3,16.6873
16587,3,16.7338
16587,3,16.7699
16587,3,16.8204
16587,3,16.8512
16587,3,16.8755
16587,3,16.9327
16587,3,16.9867
16587,3,17.0297
16587,3,17.0525
16587,3,17.0692
16587,3,17.1288
16587,3,17.1736
16587,3,17.2236
16587,3,17.2894
16587,3,17.3566
16587,3,17.3707
16587,3,17.4139
16587,3,17.4649
16587,3,17.5209
16587,3,17.564
16587,3,17.5835
16587,3,17.6118
16587,3,17.6474
16587,3,17.7372
16587,3,17.7666
16587,3,17.7879
16587,3,17.808
16587,3,17.8777
16587,3,17.9396
16587,3,17.9771
16587,3,18.0333
16587,3,18.0644
16587,3,18.0948
16587,3,18.1454
16587,3,18.1604
16587,3,18.2465
16587,3,18.2945
16587,3,18.3277
16587,3,18.3975
16587,3,18.4658
16587,3,18.4871
16587,3,18.54
16587,3,18.6069
16587,3,18.6446
16587,3,18.6672
16587,3,18.7009
16587,3,18.7451
16587,3,18.8236
16587,3,18.8715
16587,3,18.8792
16587,3,18.9318
16587,3,18.9656
16587,3,19.0425
16587,3,19.0924
16587,3,19.1013
16587,3,19.135
16587,3,19.2007
16587,3,19.2486
16587,3,19.2858
16587,3,19.3516
16587,3,19.3691
16587,3,19.3968
16587,3,19.4205
16587,3,19.434
16587,3,19.4645
16587,3,19.4879
16587,3,19.5408
16587,3,19.6207
16587,3,19.6664
16587,3,19.6837
16587,3,19.7583
16587,3,19.777
16587,3,19.8184
16587,3,19.8531
16587,3,19.8852
16587,3,19.9063
16587,3,19.9177
16587,3,19.9678
16587,3,19.9787
16587,3,19.9964
16587,3,20.0354
16587,3,20.0844
16587,3,20.0994
16587,3,20.1917
16587,3,20.2241
16587,3,20.2508
16587,3,20.2994
16587,3,20.3168
16587,3,20.335
16587,3,20.4076
16587,3,20.462
16587,3,20.5063
16587,3,20.5295
16587,3,20.5452
16587,3,20.5738
16587,3,20.6213
16587,3,20.6848
16587,3,20.7151
16587,3,20.7314
16587,3,20.7803
16587,3,20.7933
16587,3,20.8191
16587,3,20.8628
16587,3,20.8984
16587,3,20.9304
16587,3,20.9543
16587,3,20.9864
16587,3,21.0143
16587,3,21.0693
16587,3,21.0846
16587,3,21.0974
16587,3,21.1626
16583,2,21.2201
16583,2,21.2544
16583,2,21.3092
16583,2,21.3204
16583,2,21.344
16583,2,21.4055
16583,2,21.4427
16583,2,21.4618
16583,2,21.4654
16583,2,21.5344
16583,2,21.5801
16583,2,21.6141
16583,2,21.6439
16583,2,21.6598
16583,2,21.6975
16583,2,21.7094
16583,2,21.7593
16583,2,21.8184
16583,2,21.8551
16583,2,21.8687
16583,2,21.8874
16583,2,21.9152
16583,2,21.9414
16583,2,21.9879
16583,2,22.0381
16583,2,22.0519
16583,2,22.1187
16583,2,22.1592
16583,2,22.1748
16583,2,22.2088
16583,2,22.2409
16583,2,22.2558
16583,2,22.3085
16646,1,22.3565
16646,1,22.3966
16646,1,22.4861
16646,1,22.554
16646,1,22.5656
16646,1,22.5974
16646,1,22.6428
16646,1,22.6704
16646,1,22.6987
16646,1,22.7545
16646,1,22.8067
16646,1,22.8386
16646,1,22.8474
16646,1,22.8544
16646,1,22.897
16646,1,22.942
16646,1,22.9657
16646,1,23.0058
16646,1,23.0359
16646,1,23.073
16646,1,23.1311
16646,1,23.158
16646,1,23.1898
16646,1,23.2363
16646,1,23.2604
16646,1,23.2816
16646,1,23.3055
16646,1,23.3129
16646,1,23.3525
16646,1,23.4059
16646,1,23.4433
16646,1,23.4682
16646,1,23.4742
16646,1,23.5047
16646,1,23.5859
16646,1,23.6362
16646,1,23.6877
16646,1,23.7333
16646,1,23.7631
16646,1,23.7836
16646,1,23.7894
16646,1,23.7994
16646,1,23.8525
16646,1,23.8887
16646,1,23.9293
16646,1,23.9368
16646,1,23.9684
16646,1,24.0258
16646,1,24.0695
16646,1,24.1266
16646,1,24.1586
16646,1,24.2003
16646,1,24.242
16646,1,24.2737
16646,1,24.3648
16646,1,24.3811
16646,1,24.4177
16646,1,24.4568
16646,1,24.4832
16646,1,24.5057
16646,1,24.5301
16646,1,24.5551
16646,1,24.6136
16646,1,24.6401
16646,1,24.68
16646,1,24.7188
16646,1,24.7461
16646,1,24.7789
16646,1,24.8038
16646,1,24.8182
16646,1,24.839
16646,1,24.8916
16646,1,24.9299
16646,1,24.948
16646,1,24.9656
16646,1,24.9941
16646,1,25.0399
16649,0,25.0729
